Objective,Theme,Initiatives,Title,Main Problem (To Solve),Description,Outcome/Goal,Jira,Year,Projected Quarter,T-Shirt Size,Factor,Reach,Impact,Confidence,Effort,RICE,Value Based,Team Capacity,1-Pager Assignment
Strategic,Co. Table Stakes,Cutting-Edge Feature Monitoring,Global Holdout,Data Science cannot measure the total impact of features delivered in a period,Define a Holdout Group which doesn't receive any new feature for a certain amount of time (usually a quarter),Measure the total impact of all features rollout in a certain amount of time (usually a quarter),,2026,Q1,M,1,100,100,1,1,10000.00,10000.00,FIT,
Strategic,Co. Table Stakes,Cutting-Edge Feature Monitoring,Global Holdout - Observability,Data Science cannot measure the total impact of features delivered in a period,Include: Observability,Measure the total impact of all features rollout in a certain amount of time (usually a quarter),,2026,Q1,S,1,100,100,1,1,10000.00,10000.00,FIT,
Strategic,Co. Table Stakes,Cutting-Edge Feature Monitoring,Global Holdout - Enterprise,Data Science cannot measure the total impact of features delivered in a period,"Define a Holdout Group which doesn't receive any new feature for a certain amount of time (usually a quarter)
Include: Phase Enterprises and Embedd and Unauth",Measure the total impact of all features rollout in a certain amount of time (usually a quarter),,2026,Q3,S,1,100,100,1,1,10000.00,10000.00,FIT,
Raise experiments bar,Co. Table Stakes,Cutting-Edge Feature Monitoring,Feature Impact Monitoring,Data Science cannot measure the impact of each individual feature delviered,Create a mechanism that can monitor the impact of each Feature Rollout indepently,Being able to measure impact of the RTP/Feature through the stages of progressive rollout,,2026,Q2,,1,100,100,1,1,10000.00,10000.00,N/A,
Reduce experimentation time to run,Platform Foundations,Experiment Reporting,Individual Reporting Dashboard - MVP,Data Science has to manually create a dashboard for each Experiment to analyze the results,Phase 0 (MVP),Enable Experiment Owners to monitor the experiment results on their own without the need for Data Science to create the standard dashboard.,,2026,Q1,XS,0.8,100,100,1,1,8000.00,8000.00,FIT,
Reduce experimentation time to run,Platform Foundations,Experiment Reporting,Individual Reporting Dashboard - Foundations,Data Science has to manually create a dashboard for each Experiment to analyze the results,Phase 1 (Foundations),Enable Experiment Owners to monitor the experiment results on their own without the need for Data Science to create the standard dashboard.,,2026,Q1,XS,0.8,100,100,1,1,8000.00,8000.00,FIT,
Reduce experimentation time to run,Platform Foundations,Experiment Reporting,Individual Reporting Dashboard - Smart Components,Data Science has to manually create a dashboard for each Experiment to analyze the results,Phase 2 (Smart Components),Enable Experiment Owners to monitor the experiment results on their own without the need for Data Science to create the standard dashboard.,,2026,Q2,XS,0.8,100,100,1,1,8000.00,8000.00,FIT,
Reduce experimentation time to run,Agentic,Foundations for Automations & Agentic,Individual Reporting Dashboard - Generative Results,Data Science has to manually create a dashboard for each Experiment to analyze the results,Phase 3 (Generative Results),Enable Experiment Owners to monitor the experiment results on their own without the need for Data Science to create the standard dashboard.,,2026,Q3,S,0.8,100,100,1,1,8000.00,8000.00,FIT,
Minimize the negative end user impact,Co. Table Stakes,Enterprise Experiments,Enterprise - Exclude Enterprise,"Delivering multiple experiment variants, especially UI changes, to the same Enterprise organization creates confusion and inconsistency in co-editing experience between users and undermines Adobe's enterprise credibility.","Enhance experimentation experience for enterprise having the possibility to:

1. Opt-in Enterprises in Experiments",Minimize the negative impact of Experimentation on Enterprise users,,2026,Q1,L,1,70,100,1,1,7000.00,7000.00,FIT,
Minimize the negative end user impact,Co. Table Stakes,Enterprise Experiments,Enterprise - Big Feature,"Delivering multiple experiment variants, especially UI changes, to the same Enterprise organization creates confusion and inconsistency in co-editing experience between users and undermines Adobe's enterprise credibility.","Enhance experimentation experience for enterprise having the possibility to:

1. Define a BIG feature and exclude enterprises from big features experimentation
",Minimize the negative impact of Experimentation on Enterprise users,,2026,Q2,L,1,70,100,1,1,7000.00,7000.00,FIT,
Minimize the negative end user impact,Co. Table Stakes,Enterprise Experiments,Enterprise - Connected Enterprise,"Delivering multiple experiment variants, especially UI changes, to the same Enterprise organization creates confusion and inconsistency in co-editing experience between users and undermines Adobe's enterprise credibility.","Enhance experimentation experience for enterprise having the possibility to:

1. Connected Enterprise",Minimize the negative impact of Experimentation on Enterprise users,,2026,Q2,L,1,70,100,1,1,7000.00,7000.00,FIT,
Minimize the negative end user impact,Co. Table Stakes,Enterprise Experiments,Enterprise - Enterprise Cohorts,"Delivering multiple experiment variants, especially UI changes, to the same Enterprise organization creates confusion and inconsistency in co-editing experience between users and undermines Adobe's enterprise credibility.","Enhance experimentation experience for enterprise having the possibility to:

1. Experimentation unit at org level or department level inside Enterprise
",Minimize the negative impact of Experimentation on Enterprise users,,2026,Q3,L,1,70,100,1,1,7000.00,7000.00,FIT,
Raise experiments bar,Platform Foundations,Experiments Bank,Experiments Bank - MVP,"Experiment owners have no centralized repository to discover and learn from past experiments, leading to duplicated efforts, missed learnings, inconsistent practices, and lost institutional knowledge.","Create an Experiment Library where Experiment Owners can explore & learn & and get inspired from all past Experiments ran in different areas of the product. An Experiment item will have the Hypothesis, Owner, Experiment Metadata, Details and Experiment resoning, Pictures, Results & Insights.",Enable Experiment Owners to learn from past Experiments insights in order to create new ones which can bring more value to our users.,,2026,Q3,S,0.8,90,90,1,1,6480.00,6480.00,FIT,
